"","ASV","ISO","values"
"1","OTU5","LDE1",1
"2","OTU12","LRC7.O",1
"3","OTU12","LRC7.S",1
"4","OTU12","LRH11",1
"5","OTU12","LRH12",1
"6","OTU12","LRH13",1
"7","OTU14","LBA21",1
"8","OTU14","LMM1",1
"9","OTU14","LMP1",1
"10","OTU15","LMX11",1
"11","OTU15","LMX4",1
"12","OTU15","LMX9",1
"13","OTU78","LBO3",1
"14","OTU78","LMB2",1
"15","OTU78","LMI11",1
"16","OTU78","LMI111",1
"17","OTU78","LMI112",1
"18","OTU78","LMI121",1
"19","OTU78","LMI13",1
"20","OTU78","LMI14",1
"21","OTU78","LMI15",1
"22","OTU78","LMI17",1
"23","OTU78","LMI18",1
"24","OTU78","LMI1x",1
"25","OTU78","LMI22",1
"26","OTU78","LMI2x",1
"27","OTU78","LMI32",1
"28","OTU78","LMI51",1
"29","OTU78","LMI522",1
"30","OTU78","LMI62",1
"31","OTU78","LMI81",1
"32","OTU78","LMX2",1
"33","OTU78","LMX3",1
"34","OTU78","LMX6",1
"35","OTU78","LMX7",1
"36","OTU78","LWO5",1
"37","OTU78","LWH10",1
"38","OTU78","LWH11",1
"39","OTU78","LWH12",1
"40","OTU78","LWH13",1
"41","OTU78","LWO12",1
"42","OTU78","LWO13",1
"43","OTU78","LWO14",1
"44","OTU104","LAR12",1
"45","OTU143","LWS1",1
"46","OTU143","LWS15",1
"47","OTU153","LBO1",1
"48","OTU153","LMI12",1
"49","OTU153","LMI21",1
"50","OTU153","LWO2",1
"51","OTU153","LWH1",1
"52","OTU153","LWH3",1
"53","OTU153","LWH7",1
"54","OTU153","LWO8",1
"55","OTU153","LWS13",1
"56","OTU158","LST11",1
"57","OTU158","LST12",1
"58","OTU158","LST13",1
"59","OTU158","LST14",1
"60","OTU158","LST15",1
"61","OTU158","LST16",1
"62","OTU158","LST17",1
"63","OTU158","LST19",1
"64","OTU158","LST20",1
"65","OTU158","LST21",1
"66","OTU158","LST23",1
"67","OTU158","LST24",1
"68","OTU158","LST25",1
"69","OTU158","LST27",1
"70","OTU158","LST28",1
"71","OTU158","LST52",1
"72","OTU158","LST521",1
"73","OTU158","LST60",1
"74","OTU158","LST61",1
"75","OTU158","LST72",1
"76","OTU158","LST82",1
"77","OTU223","LPB4.O",1
"78","OTU223","LPD121",1
"79","OTU223","LPD2",1
"80","OTU223","LPD21",1
"81","OTU223","LPD22",1
"82","OTU223","LPD32",1
"83","OTU223","LPD33",1
"84","OTU223","LPD34",1
"85","OTU223","LST26",1
"86","OTU1009","LMN1",1
"87","OTU15","LPD11",0.997222222222222
"88","OTU15","LPD12",0.997222222222222
"89","OTU15","LWO15",0.997222222222222
"90","OTU15","LWO6",0.997222222222222
"91","OTU122","LAR21",0.997222222222222
"92","OTU122","LPA2",0.997222222222222
"93","OTU122","LPA21",0.997222222222222
"94","OTU143","LBA18",0.997222222222222
"95","OTU158","LST18",0.997222222222222
"96","OTU158","LST22",0.997222222222222
"97","OTU168","LMU1",0.997222222222222
"98","OTU243","LMC1",0.997222222222222
"99","OTU243","LMK1",0.997222222222222
"100","OTU331","LML1",0.997222222222222
"101","OTU717","LMG1",0.997222222222222
"102","OTU12","LRH8.O",0.996363636363636
"103","OTU143","LBA1",0.994444444444444
"104","OTU143","LBA111",0.994444444444444
"105","OTU143","LBA112",0.994444444444444
"106","OTU143","LBA3",0.994444444444444
"107","OTU143","LBA71",0.994444444444444
"108","OTU143","LMH1",0.994444444444444
"109","OTU143","LMW1",0.994444444444444
"110","OTU153","LMX3",0.991935483870968
"111","OTU629","LPE13",0.991689750692521
"112","OTU15","LMY1",0.991666666666667
"113","OTU118","LMQ1",0.991666666666667
"114","OTU14","LBA20",0.988919667590028
"115","OTU1240","LME3",0.988888888888889
"116","OTU1240","LMZ1",0.988888888888889
"117","OTU1240","LMX92",0.988888888888889
"118","OTU1240","LMX9231",0.988888888888889
"119","OTU14","LME1",0.986111111111111
"120","OTU14","LME2",0.986111111111111
"121","OTU122","LWH5",0.986111111111111
"122","OTU143","LMJ1",0.986111111111111
"123","OTU717","LMG2",0.986111111111111
"124","OTU1503","LMX3",0.983870967741935
"125","OTU14","LMJ1",0.983333333333333
"126","OTU14","LMX1",0.983333333333333
"127","OTU14","LMX8",0.983333333333333
"128","OTU62","LMZ1",0.983333333333333
"129","OTU78","LMI1",0.983333333333333
"130","OTU122","LBS1",0.980555555555556
"131","OTU122","LMD1",0.980555555555556
"132","OTU122","LMD2",0.980555555555556
"133","OTU362","LME1",0.980555555555556
"134","OTU362","LME2",0.980555555555556
"135","OTU564","LWS11",0.980555555555556
"136","OTU6","LMG2",0.977777777777778
"137","OTU14","LMA2",0.977777777777778
"138","OTU14","LMO1",0.977777777777778
"139","OTU14","LWS11",0.977777777777778
"140","OTU62","LME3",0.977777777777778
"141","OTU62","LMX92",0.977777777777778
"142","OTU62","LMX9231",0.977777777777778
"143","OTU78","LBO11",0.977777777777778
"144","OTU122","LMX5",0.977777777777778
"145","OTU168","LMS1",0.977777777777778
"146","OTU262","LMS1",0.977777777777778
"147","OTU564","LMA2",0.977777777777778
"148","OTU564","LMO1",0.977777777777778
"149","OTU2950","LMX8",0.977777777777778
"150","OTU388","LMX3",0.975806451612903
"151","OTU3420","LMX3",0.975806451612903
"152","OTU14","LBA1",0.975
"153","OTU14","LBA111",0.975
"154","OTU14","LBA112",0.975
"155","OTU14","LBA3",0.975
"156","OTU14","LBA71",0.975
"157","OTU14","LMH1",0.975
"158","OTU14","LMW1",0.975
"159","OTU564","LMJ1",0.975
"160","OTU1612","LMY1",0.975
"161","OTU1707","LMS1",0.975
"162","OTU3247","LMQ1",0.975
"163","OTU564","LME1",0.972375690607735
"164","OTU14","LBA18",0.972222222222222
"165","OTU19","LMG1",0.972222222222222
"166","OTU19","LMG2",0.972222222222222
"167","OTU223","LMX4",0.972222222222222
"168","OTU223","LMX9",0.972222222222222
"169","OTU223","LPD11",0.972222222222222
"170","OTU223","LPD12",0.972222222222222
"171","OTU223","LWO15",0.972222222222222
"172","OTU362","LMX1",0.972222222222222
"173","OTU362","LMX8",0.972222222222222
"174","OTU1074","LMS1",0.972222222222222
"175","OTU1612","LMX4",0.972222222222222
"176","OTU1612","LMX9",0.972222222222222
"177","OTU1612","LPD11",0.972222222222222
"178","OTU1612","LPD12",0.972222222222222
"179","OTU1612","LWO15",0.972222222222222
"180","OTU1707","LMU1",0.972222222222222
"181","OTU3064","LMT1",0.972222222222222
